Kabupaten_Kota,Angka_Harapan_Hidup,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Rata_Lama_Sekolah
sleman,75.79,297170.0,79.97,10.03
solok,67.33,316756.0,72.46,7.53
solok selatan,64.94,268902.0,70.23,7.8
soppeng,71.93,202666.0,73.31,6.93
sorong,68.65,279725.0,69.74,7.06
sorong selatan,67.07,255932.0,67.28,6.64
sragen,73.05,247495.0,72.31,6.69
subang,69.89,272854.0,72.1,6.29
sukabumi,67.9,240188.0,71.96,6.32
sukamara,68.04,344545.0,73.24,7.21
sukoharjo,70.64,279400.0,74.91,8.25
sulawesi barat,68.34,228944.0,71.41,6.87
sulawesi selatan,70.6,217547.0,73.28,7.45
sulawesi tengah,67.21,301000.0,72.54,7.82
sulawesi tenggara,68.56,226990.0,71.73,7.93
sulawesi utara,72.62,250249.0,77.36,8.79
sumatera barat,70.09,336606.0,75.01,8.28
sumatera selatan,70.1,291058.0,74.36,7.53
sumatera utara,69.9,311063.0,75.55,8.79
sumba barat,65.75,257372.0,65.49,6.37
sumba barat daya,63.14,272036.0,62.29,5.97
sumba tengah,64.2,216218.0,63.05,5.07
sumba timur,62.33,260247.0,63.8,5.98
sumbawa,61.43,259474.0,68.06,7.19
sumbawa barat,62.13,379222.0,68.5,7.28
sumedang,68.13,260160.0,73.58,7.51
sumenep,65.49,259046.0,66.89,4.58
supiori,66.53,325385.0,69.5,8.06
tabalong,63.72,330764.0,71.56,7.92
tabanan,74.91,329226.0,76.19,7.83
takalar,70.3,253415.0,70.77,6.34
tambrauw,66.48,281586.0,51.54,4.4
tana toraja,74.28,217981.0,73.76,7.8
tanah bumbu,65.86,332406.0,71.82,7.21
tanah datar,71.75,291848.0,75.29,7.78
tanah laut,69.29,317127.0,73.46,7.26
tangerang,66.33,335291.0,72.82,8.18
tanggamus,70.21,287560.0,72.66,6.35
tanjung jabung barat,70.29,270069.0,74.21,7.24
tanjung jabung timur,71.23,283415.0,73.03,5.9
tapanuli selatan,67.61,288154.0,75.13,8.04
